epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3648,1.71779,3.89885,1.68695,0.32977,0.44517,0.31435,0.16714,1.93292,2.48948,2.1311,0.000301106,0.000301106,0.000301106
2,90.1529,1.53552,1.85896,1.56704,0.63224,0.33908,0.39578,0.19073,1.87441,2.61431,2.18646,0.000592145,0.000592145,0.000592145
3,135.977,1.57553,1.78279,1.59231,0.3705,0.46486,0.33668,0.17483,1.79616,2.33149,1.98632,0.000871185,0.000871185,0.000871185
4,180.995,1.55647,1.74037,1.57301,0.46228,0.61026,0.49187,0.26077,1.57257,1.77695,1.79952,0.000855005,0.000855005,0.000855005
5,226.516,1.50925,1.60735,1.54182,0.55839,0.58341,0.57991,0.31757,1.55879,1.72406,1.78689,0.000837007,0.000837007,0.000837007
6,271.8,1.46174,1.54828,1.50386,0.64804,0.55876,0.6033,0.33234,1.59433,1.55693,1.83068,0.000819009,0.000819009,0.000819009
7,317.091,1.44186,1.419,1.48495,0.62064,0.59358,0.6306,0.3587,1.5458,1.55056,1.79735,0.000801011,0.000801011,0.000801011
8,362.362,1.38717,1.36425,1.45334,0.51477,0.65854,0.64007,0.37595,1.42896,1.47202,1.71702,0.000783013,0.000783013,0.000783013
9,407.63,1.35501,1.27513,1.42996,0.68839,0.60241,0.66002,0.37954,1.47968,1.43895,1.73634,0.000765014,0.000765014,0.000765014
10,452.849,1.33512,1.26324,1.41624,0.70784,0.62664,0.68513,0.39267,1.44438,1.37383,1.71041,0.000747016,0.000747016,0.000747016
11,498.084,1.29135,1.18345,1.38433,0.64417,0.68585,0.70127,0.40231,1.49233,1.32372,1.75583,0.000729018,0.000729018,0.000729018
12,543.267,1.27447,1.12139,1.37275,0.68846,0.64766,0.69365,0.40718,1.44386,1.27558,1.70189,0.00071102,0.00071102,0.00071102
13,588.48,1.24735,1.09532,1.35851,0.73813,0.66464,0.73568,0.43906,1.39654,1.237,1.65267,0.000693022,0.000693022,0.000693022
14,633.727,1.23081,1.05101,1.34404,0.6024,0.71441,0.72048,0.41606,1.45107,1.25999,1.71865,0.000675023,0.000675023,0.000675023
15,678.633,1.22468,1.04317,1.33986,0.70619,0.7237,0.76482,0.45522,1.40849,1.17571,1.6729,0.000657025,0.000657025,0.000657025
16,723.833,1.21013,1.02205,1.32744,0.66294,0.72273,0.75582,0.44611,1.4147,1.14672,1.6895,0.000639027,0.000639027,0.000639027
17,768.833,1.17665,0.94609,1.31413,0.7614,0.70327,0.78252,0.45879,1.42842,1.14721,1.68098,0.000621029,0.000621029,0.000621029
18,814.019,1.16314,0.93741,1.30677,0.68987,0.72313,0.75897,0.44697,1.401,1.16664,1.676,0.000603031,0.000603031,0.000603031
19,859.039,1.13464,0.91505,1.28695,0.75216,0.74569,0.79359,0.48288,1.38036,1.0584,1.6339,0.000585032,0.000585032,0.000585032
20,904.217,1.14055,0.87847,1.28964,0.76713,0.70936,0.77837,0.4757,1.33622,1.08558,1.60596,0.000567034,0.000567034,0.000567034
21,949.09,1.12305,0.87781,1.26685,0.68963,0.75166,0.77097,0.45842,1.4269,1.16262,1.69963,0.000549036,0.000549036,0.000549036
22,993.968,1.09417,0.84581,1.25396,0.76731,0.71477,0.77099,0.45179,1.41755,1.05971,1.68094,0.000531038,0.000531038,0.000531038
23,1038.87,1.09022,0.82187,1.2475,0.75459,0.73459,0.78303,0.46967,1.38951,1.12007,1.65855,0.00051304,0.00051304,0.00051304
24,1083.78,1.08213,0.80231,1.24311,0.7241,0.74838,0.77912,0.45886,1.39584,1.11929,1.67108,0.000495041,0.000495041,0.000495041
25,1128.73,1.05938,0.77596,1.22872,0.80782,0.76971,0.82645,0.48785,1.38355,0.97628,1.65062,0.000477043,0.000477043,0.000477043
26,1173.9,1.05274,0.77826,1.2235,0.75256,0.75646,0.78855,0.48697,1.37175,1.09928,1.65118,0.000459045,0.000459045,0.000459045
